id;parcela;point_x;point_y;marco;zona
1;eyeballs Investment;98405;8850;Sabonete transmitter;help-desk
2;context-sensitive Calças Representative;32365;87000;infomediaries;Brazilian Electrónica
3;Producer applications Fuerte;81815;15920;Salsichas quantify Metal;Interactions COM Mexico
4;compelling parsing card;66864;70862;Bacon Dollar;Rupee Account real-time
5;Investment Balanced hard;38406;19764;invoice;Shilling
6;Camboja;56985;91930;Villages;Circle
7;technologies Legacy Industrial;25912;31082;Brand Plástico;Linda Bicicleta policy
8;Lights Ergonómico Bedfordshire;54762;12456;multi-byte Peru Maldivas;Algodão Livros
9;Market holistic invoice;2004;25535;synthesize;Beleza generate copy
10;Fort;69704;34672;Architect Fantástico;24/365
