id;nome;zona;descricao;codigo
1;expedite;Beleza Pound Berkshire;Technician;44687
2;Credit Dollar paradigms;payment Arménia redundant;index Casa;33453
3;definition;Assurance;Administrator Linda;76874
4;enterprise neural-net;Savings hub;calculating;31297
5;Brand;mesh à;Plástico;70329
6;connect schemas;Assimilated Salsichas Fresco;withdrawal;10570
7;cinzento;Units calculate África;hacking Division Account;5064
8;User-centric;Supervisor Configuration transmit;hardware JBOD;63804
9;Impressionante groupware loyalty;Camisa;Communications upward-trending;58939
10;Checking Guame Betão;Aço scale Grécia;Account violeta;11080
